Title,Link,Views,Uploaded_by,Time_duration
Pygame Car Racing Tutorial #3 - Computer Car And Path Following,https://www.youtube.com/watch?v=V_B5ZCli-rA,27K views,2 years ago,    35:15  
Pygame Car Racing Tutorial #2 - Pixel Perfect Collision,https://www.youtube.com/watch?v=WfqXcyF0_b0,34K views,2 years ago,    26:28  
Pygame Car Racing Tutorial #1 - Moving The Car,https://www.youtube.com/watch?v=L3ktUWfAMPg,146K views,2 years ago,    50:41  
Code Jam Project Showcase #6 - The Best Programming Projects Yet?,https://www.youtube.com/watch?v=sSW32VaBbNA,22K views,2 years ago,    29:38  
Python Typing - Type Hints & Annotations,https://www.youtube.com/watch?v=QORvB-_mbZ0,93K views,2 years ago,    24:46  
Make A Security Camera With Python,https://www.youtube.com/watch?v=Exic9E5rNok,215K views,2 years ago,    35:58  
Why Random Numbers Aren't Random,https://www.youtube.com/watch?v=Nm8NF9i9vsQ,70K views,2 years ago,    9:17  
How To Run Code In Sublime Text,https://www.youtube.com/watch?v=haxotc0xq48,223K views,2 years ago,    9:24  
What Self-Taught Developers NEVER Learn,https://www.youtube.com/watch?v=C64HXRU3GuQ,163K views,2 years ago,    13:23  
Make A Python Website As Fast As Possible!,https://www.youtube.com/watch?v=kng-mJJby8g,570K views,2 years ago,    22:21  
React Group Video Calling App Tutorial,https://www.youtube.com/watch?v=lUrWJVCCVGc,45K views,2 years ago,    1:29:07  
Beautiful Soup 4 Tutorial #4 - Finding The Best GPU Prices,https://www.youtube.com/watch?v=zAEfWiC_KBU,62K views,2 years ago,    27:41  
Beautiful Soup 4 Tutorial #3 - Navigating The HTML Tree,https://www.youtube.com/watch?v=lC6mucyD17k,67K views,2 years ago,    12:57  
Beautiful Soup 4 Tutorial #2 - Searching and Filtering,https://www.youtube.com/watch?v=lOzyQgv71_4,116K views,2 years ago,    11:57  
Beautiful Soup 4 Tutorial #1 - Web Scraping With Python,https://www.youtube.com/watch?v=gRLHr664tXA,405K views,2 years ago,    17:01  
Greedy Algorithms Explained,https://www.youtube.com/watch?v=lfQvPHGtu6Q,82K views,2 years ago,    17:48  
5 Python BAD Practices To Avoid,https://www.youtube.com/watch?v=5Ui37whUDrM,66K views,2 years ago,    19:27  
An Introduction To DApps & Blockchain Technology,https://www.youtube.com/watch?v=ObkjC2j6Zko,17K views,2 years ago,    14:31  
Write Python Code Properly!,https://www.youtube.com/watch?v=D4_s3q038I0,120K views,2 years ago,    25:46  
